equipment_id,crew_available,days_until_next_rotation
E1001,true,0
E1002,true,0
E1003,false,9
E1004,true,0
E1005,true,0
E1006,false,12
E1007,true,0
E1008,true,0
E1009,false,15
E1010,true,0
E1011,true,0
E1012,false,18
E1013,true,0
E1014,true,0
E1015,false,21
E1016,true,0
E1017,true,0
E1018,false,9
E1019,true,0
E1020,true,0
E1021,false,12
E1022,true,0
E1023,true,0
E1024,false,15
E1025,true,0
E1026,true,0
E1027,false,18
E1028,true,0
E1029,true,0
E1030,false,21
E1031,true,0
E1032,true,0
E1033,false,9
E1034,true,0
E1035,true,0
E1036,false,12
E1037,true,0
E1038,true,0
E1039,false,15
E1040,true,0
E1041,true,0
E1042,false,18
E1043,true,0
E1044,true,0
E1045,false,21
E1046,true,0
E1047,true,0
E1048,false,9
E1049,true,0
E1050,true,0
