pm_id,equipment_id,task,last_maintenance_date,interval_days,next_due_date,status
PM0001,E1038,Bearing Lubrication,2024-09-08,30,2024-10-08,Completed
PM0002,E1045,Electrical Inspection,2024-05-17,90,2024-08-15,Overdue
PM0003,E1006,Electrical Inspection,2024-05-07,90,2024-08-05,Scheduled
PM0004,E1013,Bearing Lubrication,2024-02-05,60,2024-04-05,Completed
PM0005,E1017,Electrical Inspection,2024-02-07,90,2024-05-07,Completed
PM0006,E1033,Pressure Check,2024-06-17,30,2024-07-17,Completed
PM0007,E1042,Electrical Inspection,2024-08-20,90,2024-11-18,Completed
PM0008,E1035,Bearing Lubrication,2024-02-19,90,2024-05-19,Completed
PM0009,E1010,Bearing Lubrication,2024-01-29,30,2024-02-28,Completed
PM0010,E1047,Bearing Lubrication,2024-09-18,30,2024-10-18,Scheduled
PM0011,E1002,Bearing Lubrication,2024-03-16,60,2024-05-15,Completed
PM0012,E1005,Electrical Inspection,2024-10-27,30,2024-11-26,Overdue
PM0013,E1003,Pressure Check,2024-07-30,30,2024-08-29,Scheduled
PM0014,E1048,Seal Inspection,2024-08-25,180,2025-02-21,Overdue
PM0015,E1022,Electrical Inspection,2024-02-22,30,2024-03-23,Completed
PM0016,E1006,Bearing Lubrication,2024-09-22,90,2024-12-21,Overdue
PM0017,E1022,Pressure Check,2024-03-27,90,2024-06-25,Completed
PM0018,E1026,Electrical Inspection,2024-05-22,180,2024-11-18,Overdue
PM0019,E1016,Seal Inspection,2024-09-23,90,2024-12-22,Completed
PM0020,E1006,Bearing Lubrication,2024-04-22,180,2024-10-19,Scheduled
PM0021,E1017,Electrical Inspection,2024-06-05,60,2024-08-04,Overdue
PM0022,E1005,Pressure Check,2024-08-18,30,2024-09-17,Overdue
PM0023,E1032,Seal Inspection,2024-03-05,90,2024-06-03,Scheduled
PM0024,E1018,Seal Inspection,2024-10-20,90,2025-01-18,Scheduled
PM0025,E1043,Seal Inspection,2024-05-30,30,2024-06-29,Scheduled
PM0026,E1010,Pressure Check,2024-05-20,30,2024-06-19,Scheduled
PM0027,E1034,Bearing Lubrication,2024-04-18,60,2024-06-17,Completed
PM0028,E1038,Bearing Lubrication,2024-01-08,180,2024-07-06,Completed
PM0029,E1031,Seal Inspection,2024-09-15,60,2024-11-14,Completed
PM0030,E1002,Electrical Inspection,2024-09-01,30,2024-10-01,Scheduled
PM0031,E1009,Pressure Check,2024-10-25,30,2024-11-24,Scheduled
PM0032,E1046,Bearing Lubrication,2024-09-06,90,2024-12-05,Scheduled
PM0033,E1029,Bearing Lubrication,2024-07-18,30,2024-08-17,Completed
PM0034,E1011,Seal Inspection,2024-04-16,30,2024-05-16,Scheduled
PM0035,E1006,Bearing Lubrication,2024-07-19,30,2024-08-18,Overdue
PM0036,E1039,Bearing Lubrication,2024-07-30,180,2025-01-26,Overdue
PM0037,E1020,Pressure Check,2024-10-19,30,2024-11-18,Completed
PM0038,E1020,Electrical Inspection,2024-09-07,180,2025-03-06,Completed
PM0039,E1039,Electrical Inspection,2024-06-30,90,2024-09-28,Completed
PM0040,E1027,Seal Inspection,2024-04-18,180,2024-10-15,Completed
PM0041,E1012,Bearing Lubrication,2024-10-15,90,2025-01-13,Overdue
PM0042,E1026,Bearing Lubrication,2024-06-18,90,2024-09-16,Completed
PM0043,E1001,Electrical Inspection,2024-05-19,180,2024-11-15,Scheduled
PM0044,E1031,Pressure Check,2024-09-21,30,2024-10-21,Completed
