equipment_id,spare_status,lead_time_weeks
E1001,In Stock,0
E1002,Low Stock,3
E1003,Not Available,10
E1004,In Stock,0
E1005,Low Stock,4
E1006,Not Available,0
E1007,In Stock,12
E1008,Low Stock,0
E1009,Not Available,2
E1010,In Stock,0
E1011,Low Stock,0
E1012,Not Available,3
E1013,In Stock,10
E1014,Low Stock,0
E1015,Not Available,4
E1016,In Stock,0
E1017,Low Stock,12
E1018,Not Available,0
E1019,In Stock,2
E1020,Low Stock,0
E1021,Not Available,0
E1022,In Stock,3
E1023,Low Stock,10
E1024,Not Available,0
E1025,In Stock,4
E1026,Low Stock,0
E1027,Not Available,12
E1028,In Stock,0
E1029,Low Stock,2
E1030,Not Available,0
E1031,In Stock,0
E1032,Low Stock,3
E1033,Not Available,10
E1034,In Stock,0
E1035,Low Stock,4
E1036,Not Available,0
E1037,In Stock,12
E1038,Low Stock,0
E1039,Not Available,2
E1040,In Stock,0
E1041,Low Stock,0
E1042,Not Available,3
E1043,In Stock,10
E1044,Low Stock,0
E1045,Not Available,4
E1046,In Stock,0
E1047,Low Stock,12
E1048,Not Available,0
E1049,In Stock,2
E1050,Low Stock,0
