equipment_id,technician_available,tools_available
E1001,false,false
E1002,true,true
E1003,true,true
E1004,true,true
E1005,true,true
E1006,false,true
E1007,true,true
E1008,true,false
E1009,true,true
E1010,true,true
E1011,false,true
E1012,true,true
E1013,true,true
E1014,true,true
E1015,true,false
E1016,false,true
E1017,true,true
E1018,true,true
E1019,true,true
E1020,true,true
E1021,false,true
E1022,true,false
E1023,true,true
E1024,true,true
E1025,true,true
E1026,false,true
E1027,true,true
E1028,true,true
E1029,true,false
E1030,true,true
E1031,false,true
E1032,true,true
E1033,true,true
E1034,true,true
E1035,true,true
E1036,false,false
E1037,true,true
E1038,true,true
E1039,true,true
E1040,true,true
E1041,false,true
E1042,true,true
E1043,true,false
E1044,true,true
E1045,true,true
E1046,false,true
E1047,true,true
E1048,true,true
E1049,true,true
E1050,true,false
